Satellite_PRN_number,year,month,day,hour,minute,second,SV_clock_bias,SV_clock_drift,SV_clock_drift_rate,IODE,C_rs,Delta_n,M0,C_uc,e_Eccentricity,C_us,sqrt_A,T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA_DOT,IDOT,Codes_on_L2_channel,GPS_Week,L2_P,SV_accuracy,SV_health,TGD,IODS,t_tm,Fit_interval
29,22,1,16,6,0,0,-0.000467903,-4.89E-12,0,37,120.125,4.10E-09,-0.888220376,6.01E-06,0.00176932,3.69E-06,5153.767567,21600,-1.86E-09,-2.393651362,-3.17E-08,0.982227625,321.4375,2.293304669,-8.05E-09,3.18E-10,1,2193,0,2,0,-1.02E-08,37,15690,4
9,22,1,16,6,0,0,-0.000357767,1.25E-12,0,54,9.78125,4.74E-09,-0.587706151,4.04E-07,0.00233162,7.98E-06,5153.634672,21600,-5.59E-08,0.655073758,3.91E-08,0.954030495,222.34375,1.857988942,-7.98E-09,4.89E-10,1,2193,0,2,0,1.40E-09,54,16950,4
2,22,1,16,6,0,0,-0.000648741,-9.09E-13,0,70,-64.90625,4.62E-09,-3.056470915,-3.17E-06,0.020689897,-1.47E-07,5153.678772,21600,3.46E-07,-1.497100945,1.68E-07,0.964737159,382.21875,-1.457008723,-8.10E-09,-1.07E-10,1,2193,0,2,0,-1.77E-08,70,18750,4
2,22,1,16,8,0,0,-0.000648748,-9.09E-13,0,89,-52.3125,4.57E-09,-2.006363256,-2.18E-06,0.020690759,2.61E-07,5153.675909,28800,2.03E-07,-1.497159446,3.02E-07,0.964736905,373.03125,-1.45693796,-8.09E-09,-3.00E-11,1,2193,0,2,0,-1.77E-08,89,21600,4
3,22,1,16,8,0,0,-8.03E-05,-1.51E-11,0,31,-106.1875,3.95E-09,2.94737677,-5.53E-06,0.003867425,9.28E-06,5153.704918,28800,-4.66E-08,-0.372998704,-6.15E-08,0.972571496,203.90625,0.975779888,-7.59E-09,2.32E-11,1,2193,0,2,0,1.86E-09,31,21630,4
4,22,1,16,8,0,0,-0.000194713,1.82E-12,0,182,6.75,4.55E-09,-0.347855181,1.99E-07,0.001647511,7.82E-06,5153.658054,28800,1.30E-08,0.70772967,-1.68E-08,0.961007559,228.59375,-3.103471336,-7.88E-09,4.10E-10,1,2193,0,2,0,-4.19E-09,182,21660,4
6,22,1,16,8,0,0,0.000172368,1.10E-11,0,64,-65.46875,4.23E-09,-1.801471134,-3.30E-06,0.002635947,1.73E-06,5153.650003,28800,-8.01E-08,-1.416747958,1.86E-08,0.985781792,361.125,-0.998718809,-8.08E-09,-1.14E-10,1,2193,0,2,0,4.19E-09,64,21690,4
9,22,1,16,8,0,0,-0.000357758,1.25E-12,0,55,7.5,4.71E-09,0.462493936,2.92E-07,0.002332156,8.08E-06,5153.635689,28800,-4.66E-08,0.655016495,-2.05E-08,0.954033805,219.25,1.85799471,-7.98E-09,4.46E-10,1,2193,0,2,0,1.40E-09,55,21720,4
16,22,1,16,8,0,0,-0.000456326,-5.46E-12,0,32,72.75,3.89E-09,0.932037714,3.98E-06,0.012647436,1.11E-05,5153.596704,28800,-1.97E-07,2.858296958,9.87E-08,0.971010544,172.3125,0.697740563,-7.70E-09,-4.44E-10,1,2193,0,2,0,-1.02E-08,32,21750,4
26,22,1,16,8,0,0,0.000174811,3.41E-12,0,33,51.65625,4.67E-09,1.906834909,2.73E-06,0.006780727,1.08E-05,5153.692127,28800,-1.01E-07,2.716958217,5.40E-08,0.939227809,159.3125,0.350697441,-7.96E-09,-4.88E-10,1,2193,0,2,0,6.98E-09,33,21810,4
